income,expenses,savings,loans,financial_personality,next_month_savings
2269110,1904054.0,239374.0,125682.0,Spender,210043.0
2818307,1414978.0,760725.0,642604.0,Saver,883153.0
2279084,1538105.0,599597.0,141382.0,Balanced,618979.0
2406330,1412185.0,492114.0,502031.0,Saver,534141.0
1742743,934236.0,713765.0,94742.0,Balanced,685336.0
160268,79863.0,76027.0,4378.0,Balanced,75030.0
782180,386862.0,336396.0,58922.0,Balanced,350099.0
2284489,709834.0,1379379.0,195276.0,Saver,1456672.0
1620006,1107908.0,197553.0,314545.0,Spender,191081.0
2053274,1040012.0,914161.0,99101.0,Balanced,1001505.0
1186074,724774.0,130276.0,331024.0,Spender,106396.0
2322355,2008330.0,0.0,386227.0,Spender,0.0
1289911,715071.0,384863.0,189977.0,Saver,443110.0
328167,221660.0,63711.0,42796.0,Spender,61240.0
2188242,1402155.0,414129.0,371958.0,Balanced,414915.0
379365,318235.0,58575.0,2555.0,Spender,52896.0
837201,586463.0,2068.0,248670.0,Spender,2023.0
1420455,1149319.0,33555.0,237581.0,Spender,29424.0
1816891,1248127.0,549580.0,19184.0,Spender,448626.0
377069,121070.0,189260.0,66739.0,Saver,226967.0
1875573,846707.0,782934.0,245932.0,Saver,843253.0
841743,615733.0,219940.0,6070.0,Spender,178098.0
153355,67698.0,43127.0,42530.0,Balanced,43627.0
1312752,980844.0,327746.0,4162.0,Spender,270159.0
2331931,2063322.0,0.0,404267.0,Spender,0.0
1446025,1184899.0,0.0,417232.0,Spender,0.0
1520485,793179.0,618924.0,108382.0,Saver,726537.0
1039436,652002.0,308173.0,79261.0,Balanced,300928.0
1357371,1117646.0,239553.0,172.0,Spender,198293.0
2633384,805738.0,1775228.0,52418.0,Saver,2036886.0
967040,558376.0,395641.0,13023.0,Saver,469387.0
1598762,1037663.0,166530.0,394569.0,Balanced,161065.0
2303882,880944.0,844615.0,578323.0,Saver,961500.0
1969486,1114381.0,425737.0,429368.0,Balanced,409874.0
704811,341482.0,288743.0,74586.0,Saver,338356.0
577035,253655.0,181212.0,142168.0,Balanced,196868.0
698143,332448.0,252643.0,113052.0,Balanced,263840.0
1550942,941383.0,467969.0,141590.0,Spender,438800.0
115725,64712.0,35832.0,15181.0,Saver,37922.0
134654,41402.0,90595.0,2657.0,Saver,96116.0
1003277,697888.0,20987.0,284402.0,Spender,17544.0
2004354,1249663.0,382412.0,372279.0,Spender,326873.0
2738875,1463714.0,674333.0,600828.0,Saver,784909.0
2466182,1424207.0,541402.0,500573.0,Saver,603833.0
2702991,2078180.0,83334.0,541477.0,Spender,67971.0
2420690,1553768.0,854387.0,12535.0,Spender,829207.0
2478388,1158518.0,929248.0,390622.0,Saver,1114237.0
578178,307072.0,128578.0,142528.0,Saver,143783.0
2713046,1669947.0,1006864.0,36235.0,Balanced,1033812.0
2636644,2168681.0,0.0,756321.0,Spender,0.0
1355416,655685.0,527257.0,172474.0,Balanced,531186.0
2620406,1630210.0,762303.0,227893.0,Spender,666528.0
2496609,860554.0,1237730.0,398325.0,Saver,1478925.0
2813139,2494275.0,0.0,676178.0,Spender,0.0
2845513,2231036.0,209200.0,405277.0,Spender,200087.0
1515689,937256.0,285099.0,293334.0,Balanced,276332.0
118148,79126.0,21303.0,17719.0,Balanced,21570.0
1875665,1042544.0,477904.0,355217.0,Saver,515531.0
2795683,1301448.0,1378468.0,115767.0,Balanced,1487406.0
2825995,1744820.0,1048396.0,32779.0,Spender,870666.0
2719995,1842901.0,765383.0,111711.0,Balanced,777500.0
306508,212870.0,67354.0,26284.0,Balanced,64528.0
853591,401361.0,387351.0,64879.0,Saver,443573.0
946942,820545.0,0.0,174761.0,Spender,0.0
2253682,1508941.0,436512.0,308229.0,Spender,392683.0
654365,283544.0,363202.0,7619.0,Balanced,350578.0
1920928,1440591.0,460245.0,20092.0,Spender,415507.0
2607489,1677541.0,859086.0,70862.0,Balanced,888782.0
1823415,1087478.0,542793.0,193144.0,Balanced,594047.0
2105555,1034240.0,1067409.0,3906.0,Saver,1126099.0
855889,261250.0,467800.0,126839.0,Saver,555937.0
1558349,771769.0,617965.0,168615.0,Balanced,631520.0
2355413,1370494.0,592431.0,392488.0,Saver,640724.0
1413715,622433.0,485570.0,305712.0,Balanced,509767.0
1270405,1039077.0,135677.0,95651.0,Spender,122572.0
321836,266414.0,40255.0,15167.0,Spender,34030.0
2145505,1115341.0,851194.0,178970.0,Saver,973786.0
2349435,1637052.0,711140.0,1243.0,Balanced,726066.0
246769,104325.0,133559.0,8885.0,Saver,154041.0
2708505,1637719.0,460698.0,610088.0,Balanced,485282.0
1321741,869833.0,363560.0,88348.0,Spender,325227.0
1096797,570239.0,199395.0,327163.0,Balanced,201114.0
1634398,1221660.0,330447.0,82291.0,Spender,268537.0
2635031,960332.0,1051168.0,623531.0,Saver,1181594.0
614685,413095.0,71576.0,130014.0,Balanced,70607.0
2929190,1508121.0,1137993.0,283076.0,Saver,1203982.0
1452107,994878.0,313148.0,144081.0,Spender,271210.0
1361736,463653.0,667860.0,230223.0,Saver,710016.0
1057293,514225.0,272705.0,270363.0,Balanced,282785.0
629879,369673.0,187231.0,72975.0,Balanced,192015.0
73247,62108.0,9795.0,1344.0,Spender,9388.0
1122876,843224.0,153524.0,126128.0,Spender,131037.0
2754238,1186384.0,1396557.0,171297.0,Balanced,1404558.0
2680708,1004715.0,920671.0,755322.0,Saver,1061849.0
1372905,691317.0,394401.0,287187.0,Balanced,433424.0
1817640,892172.0,897749.0,27719.0,Saver,1064394.0
2889291,1369504.0,1265828.0,253959.0,Balanced,1301428.0
2579467,1212810.0,1327798.0,38859.0,Balanced,1396435.0
2663740,1294206.0,706249.0,663285.0,Balanced,727287.0
1335160,771400.0,200745.0,363015.0,Balanced,203801.0
1660908,1242009.0,362953.0,55946.0,Spender,334084.0
1936222,1650611.0,29861.0,255750.0,Spender,26197.0
1028732,524015.0,217120.0,287597.0,Saver,237101.0
1475472,885352.0,525843.0,64277.0,Balanced,555212.0
98984,44186.0,46130.0,8668.0,Balanced,49857.0
2450070,1020622.0,1205800.0,223648.0,Balanced,1197605.0
2411864,1816133.0,573982.0,21749.0,Spender,540334.0
1554384,499723.0,1037746.0,16915.0,Saver,1157194.0
2083643,1477731.0,10328.0,595584.0,Spender,8886.0
2280919,930236.0,959898.0,390785.0,Balanced,1001334.0
2795815,987042.0,1551573.0,257200.0,Saver,1847787.0
1802126,600307.0,997093.0,204726.0,Saver,1099548.0
186330,119306.0,27065.0,39959.0,Balanced,28795.0
2627906,1849620.0,489334.0,288952.0,Spender,422266.0
1787095,1114529.0,550457.0,122109.0,Spender,528865.0
2161138,1468805.0,626308.0,66025.0,Spender,596243.0
